Book_book_name,Book_rating,Book_cover,Book_cover_url,Author,Translator,Publisher,Year,Price
解忧杂货店,8.5,https://img3.doubanio.com/view/subject/l/public/s27264181.jpg,https://book.douban.com/subject/25862578/,东野圭吾 , 李盈春 ,南海出版公司 ,2014,39.5
白夜行,9.1,https://img3.doubanio.com/view/subject/l/public/s4610502.jpg,https://book.douban.com/subject/3259440/,东野圭吾 , 刘姿君 ,南海出版公司 ,2008,29.8
嫌疑人X的献身,8.9,https://img3.doubanio.com/view/subject/l/public/s3254244.jpg,https://book.douban.com/subject/3211779/,东野圭吾 , 刘子倩 ,南海出版公司 ,2008,28
白夜行,9.2,https://img1.doubanio.com/view/subject/l/public/s24514468.jpg,https://book.douban.com/subject/10554308/,东野圭吾 , 刘姿君 ,南海出版公司 ,2013,39.5
放学后,7.6,https://img3.doubanio.com/view/subject/l/public/s4066862.jpg,https://book.douban.com/subject/4074636/,东野圭吾 , 赵峻 ,南海出版公司 ,2010,20
恶意,8.4,https://img3.doubanio.com/view/subject/l/public/s3814606.jpg,https://book.douban.com/subject/3646172/,东野圭吾 , 娄美莲 ,南海出版公司 ,2009,18
时生,7.7,https://img3.doubanio.com/view/subject/l/public/s4123451.jpg,https://book.douban.com/subject/4152754/,东野圭吾 , 徐建雄 ,南海出版公司 ,2010,25
幻夜,7.5,https://img3.doubanio.com/view/subject/l/public/s3960322.jpg,https://book.douban.com/subject/4009552/,东野圭吾 , 李炜 ,南海出版公司 ,2009,28
嫌疑人X的献身,9,https://img3.doubanio.com/view/subject/l/public/s27676061.jpg,https://book.douban.com/subject/25924253/,东野圭吾 , 刘子倩 ,南海出版公司 ,2014,35
秘密,7.7,https://img3.doubanio.com/view/subject/l/public/s5909700.jpg,https://book.douban.com/subject/3102324/,东野圭吾 , 赵博 ,海南出版社 ,2008,29.8
嫌疑人X的献身,9,https://img3.doubanio.com/view/subject/l/public/s7049655.jpg,https://book.douban.com/subject/4117922/,东野圭吾 , 刘子倩 ,南海出版公司 ,2009,19.8
变身,7.1,https://img1.doubanio.com/view/subject/l/public/s4004618.jpg,https://book.douban.com/subject/3865832/,东野圭吾 , 赵峻 ,南海出版公司 ,2009,22
恶意,8.7,https://img3.doubanio.com/view/subject/l/public/s29069735.jpg,https://book.douban.com/subject/26877752/,东野圭吾 , 娄美莲 ,南海出版公司 ,2016,39.5
虚无的十字架,7.5,https://img3.doubanio.com/view/subject/l/public/s28976475.jpg,https://book.douban.com/subject/26413027/,东野圭吾 , 王蕴洁 , 湖南文艺出版社 ,2015,39.8
祈祷落幕时,7.7,https://img3.doubanio.com/view/subject/l/public/s27753770.jpg,https://book.douban.com/subject/26118072/,东野圭吾 , 代珂 ,南海出版公司 ,2015,39.5
单恋,7.6,https://img1.doubanio.com/view/subject/l/public/s4489667.jpg,https://book.douban.com/subject/4928387/,东野圭吾 , 赵峻 ,南海出版公司 ,2010,28
流星之绊,7.7,https://img3.doubanio.com/view/subject/l/public/s26581474.jpg,https://book.douban.com/subject/4580972/,东野圭吾 , 徐建雄 ,南海出版公司 ,2010,28
新参者,8.4,https://img3.doubanio.com/view/subject/l/public/s6942170.jpg,https://book.douban.com/subject/6746289/,东野圭吾 , 岳远坤 ,南海出版公司 ,2011,28
恶意,8.5,https://img3.doubanio.com/view/subject/l/public/s24642953.jpg,https://book.douban.com/subject/10554309/,东野圭吾 , 娄美莲 ,南海出版公司 ,2013,28
彷徨之刃,7.8,https://img1.doubanio.com/view/subject/l/public/s4558599.jpg,https://book.douban.com/subject/5347699/,东野圭吾 , 刘珮瑄 ,南海出版公司 ,2011,28
圣女的救济,7.7,https://img1.doubanio.com/view/subject/l/public/s3766558.jpg,https://book.douban.com/subject/3713327/,东野圭吾 , 袁斌 ,当代世界出版社 ,2009,30
宿命,7.5,https://img3.doubanio.com/view/subject/l/public/s6012183.jpg,https://book.douban.com/subject/3615061/,东野圭吾 , 张智渊 ,南海出版公司 ,2009,25
新参者,8.3,https://img3.doubanio.com/view/subject/l/public/s28363320.jpg,https://book.douban.com/subject/26639966/,东野圭吾 , 岳远坤 ,南海出版公司 ,2016,39.5
分身,7.4,https://img1.doubanio.com/view/subject/l/public/s4435059.jpg,https://book.douban.com/subject/4753783/,东野圭吾 , 王维幸 ,南海出版公司 ,2010,28
名侦探的守则,7.4,https://img3.doubanio.com/view/subject/l/public/s4215105.jpg,https://book.douban.com/subject/4264003/,东野圭吾 , 岳远坤 ,南海出版公司 ,2010,22
沉睡的人鱼之家,7.2,https://img3.doubanio.com/view/subject/l/public/s29466436.jpg,https://book.douban.com/subject/27028847/,东野圭吾 , 王蕴洁 ,北京联合出版公司 ,2017,39.8
黑笑小说,7.6,https://img3.doubanio.com/view/subject/l/public/s6189996.jpg,https://book.douban.com/subject/4213995/,东野圭吾 , 李盈春 ,南海出版公司 ,2010,22
拉普拉斯的魔女,6.8,https://img3.doubanio.com/view/subject/l/public/s29195703.jpg,https://book.douban.com/subject/26920165/,东野圭吾 , 王蕴洁 ,北京联合出版公司 ,2017,39.8
从前我死去的家,7.6,https://img3.doubanio.com/view/subject/l/public/s26568084.jpg,https://book.douban.com/subject/24153181/,东野圭吾 , 李盈春 ,南海出版公司 ,2013,25
假面山庄,7.6,https://img3.doubanio.com/view/subject/l/public/s29623074.jpg,https://book.douban.com/subject/27200261/,东野圭吾 , 陈文娟 ,北京十月文艺出版社 ,2018,45
谁杀了她,7.6,https://img3.doubanio.com/view/subject/l/public/s11368492.jpg,https://book.douban.com/subject/10594788/,东野圭吾 , 袁斌 ,南海出版公司 ,2012,28
